 # x1                       x2                         phi(x1,x2)
   0.0000000000000000        0.0000000000000000        0.0000000000000000     
   0.0000000000000000        3.3333333333333333E-002   0.0000000000000000     
   0.0000000000000000        6.6666666666666666E-002   0.0000000000000000     
   0.0000000000000000       0.10000000000000001        0.0000000000000000     
   0.0000000000000000       0.13333333333333333        0.0000000000000000     
   0.0000000000000000       0.16666666666666666        0.0000000000000000     
   0.0000000000000000       0.20000000000000001        0.0000000000000000     
   0.0000000000000000       0.23333333333333334        0.0000000000000000     
   0.0000000000000000       0.26666666666666666        0.0000000000000000     
   0.0000000000000000       0.29999999999999999        0.0000000000000000     
   0.0000000000000000       0.33333333333333331        0.0000000000000000     
   0.0000000000000000       0.36666666666666664        0.0000000000000000     
   0.0000000000000000       0.40000000000000002        0.0000000000000000     
   0.0000000000000000       0.43333333333333335        0.0000000000000000     
   0.0000000000000000       0.46666666666666667        0.0000000000000000     
   0.0000000000000000       0.50000000000000000        0.0000000000000000     
   0.0000000000000000       0.53333333333333333        0.0000000000000000     
   0.0000000000000000       0.56666666666666665        0.0000000000000000     
   0.0000000000000000       0.59999999999999998        0.0000000000000000     
   0.0000000000000000       0.63333333333333330        0.0000000000000000     
   0.0000000000000000       0.66666666666666663        0.0000000000000000     
   0.0000000000000000       0.69999999999999996        0.0000000000000000     
   0.0000000000000000       0.73333333333333328        0.0000000000000000     
   0.0000000000000000       0.76666666666666661        0.0000000000000000     
   0.0000000000000000       0.80000000000000004        0.0000000000000000     
   0.0000000000000000       0.83333333333333337        0.0000000000000000     
   0.0000000000000000       0.86666666666666670        0.0000000000000000     
   0.0000000000000000       0.90000000000000002        0.0000000000000000     
   0.0000000000000000       0.93333333333333335        0.0000000000000000     
   0.0000000000000000       0.96666666666666667        0.0000000000000000     
   0.0000000000000000        1.0000000000000000        0.0000000000000000     

   3.3333333333333333E-002   0.0000000000000000       0.10452846326765346     
   3.3333333333333333E-002   3.3333333333333333E-002   9.4103494374792138E-002
   3.3333333333333333E-002   6.6666666666666666E-002   8.4709547130053006E-002
   3.3333333333333333E-002  0.10000000000000001        7.6243703508336105E-002
   3.3333333333333333E-002  0.13333333333333333        6.8613213893329056E-002
   3.3333333333333333E-002  0.16666666666666666        6.1734480850155898E-002
