 # x1=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        1.0000000000000000     
   3.3333333333333333E-002  0.90018430466200017     
   6.6666666666666666E-002  0.81024925935742964     
  0.10000000000000001       0.72920771433951603     
  0.13333333333333333       0.65617013716435524     
  0.16666666666666666       0.59033484895838806     
  0.20000000000000001       0.53097922498882955     
  0.23333333333333334       0.47745176295229419     
  0.26666666666666666       0.42916493192114713     
  0.29999999999999999       0.38558872345581469     
  0.33333333333333331       0.34624483409843893     
  0.36666666666666664       0.31070141539345247     
  0.40000000000000002       0.27856833380998069     
  0.43333333333333335       0.24949288853778109     
  0.46666666666666667       0.22315594015416784     
  0.50000000000000000       0.19926840766919335     
  0.53333333333333333       0.17756809549977107     
  0.56666666666666665       0.15781681554480678     
  0.59999999999999998       0.13979777277250915     
  0.63333333333333330       0.12331318562342602     
  0.66666666666666663       0.10818211511014983     
  0.69999999999999996        9.4238478785343388E-002
  0.73333333333333328        8.1329227778897187E-002
  0.76666666666666661        6.9312666894918787E-002
  0.80000000000000004        5.8056899329514702E-002
  0.83333333333333337        4.7438378938195004E-002
  0.86666666666666670        3.7340554162222095E-002
  0.90000000000000002        2.7652588729297548E-002
  0.93333333333333335        1.8268145086674733E-002
  0.96666666666666667        9.0842172133521991E-003
   1.0000000000000000        0.0000000000000000     

 # x2=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        0.0000000000000000     
   3.3333333333333333E-002   2.0829220431453070E-002
   6.6666666666666666E-002   4.1430231565064549E-002
  0.10000000000000001        6.1577324411815841E-002
  0.13333333333333333        8.1049763206427733E-002
  0.16666666666666666        9.9634203834596660E-002
  0.20000000000000001       0.11712703127575622     
  0.23333333333333334       0.13333659045185151     
  0.26666666666666666       0.14808528604048091     
  0.29999999999999999       0.16121152824641252     
  0.33333333333333331       0.17257150321319528     
  0.36666666666666664       0.18204074867786560     
  0.40000000000000002       0.18951551760554550     
  0.43333333333333335       0.19491391486366735     
  0.46666666666666667       0.19817679448218395     
  0.50000000000000000       0.19926840766919335     
  0.53333333333333333       0.19817679448218395     
  0.56666666666666665       0.19491391486366735     
  0.59999999999999998       0.18951551760554550     
  0.63333333333333330       0.18204074867786563     
  0.66666666666666663       0.17257150321319531     
  0.69999999999999996       0.16121152824641252     
  0.73333333333333328       0.14808528604048099     
  0.76666666666666661       0.13333659045185153     
  0.80000000000000004       0.11712703127575623     
  0.83333333333333337        9.9634203834596660E-002
  0.86666666666666670        8.1049763206427705E-002
  0.90000000000000002        6.1577324411815869E-002
  0.93333333333333335        4.1430231565064549E-002
  0.96666666666666667        2.0829220431453126E-002
   1.0000000000000000        2.4402535814776190E-017
