 # x1=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        1.0000000000000000     
   3.3333333333333333E-002  0.88265313422832181     
   6.6666666666666666E-002  0.77555877953645136     
  0.10000000000000001       0.67810583029377136     
  0.13333333333333333       0.58975046302806056     
  0.16666666666666666       0.50999371578787300     
  0.20000000000000001       0.43836257311995919     
  0.23333333333333334       0.37439497791478416     
  0.26666666666666666       0.31762896160276127     
  0.29999999999999999       0.26759584303835404     
  0.33333333333333331       0.22381721750778175     
  0.36666666666666664       0.18580526141036793     
  0.40000000000000002       0.15306573106892174     
  0.43333333333333335       0.12510294523274623     
  0.46666666666666667       0.10142601273046334     
  0.50000000000000000        8.1555595576269596E-002
  0.53333333333333333        6.5030574531979066E-002
  0.56666666666666665        5.1414095954410037E-002
  0.59999999999999998        4.0298611230795887E-002
  0.63333333333333330        3.1309658795691628E-002
  0.66666666666666663        2.4108270793603972E-002
  0.69999999999999996        1.8392001762867469E-002
  0.73333333333333328        1.3894668439057827E-002
  0.76666666666666661        1.0384954520912920E-002
  0.80000000000000004        7.6640717809224159E-003
  0.83333333333333337        5.5626816037941847E-003
  0.86666666666666670        3.9372731345899510E-003
  0.90000000000000002        2.6661710561320775E-003
  0.93333333333333335        1.6453133401015706E-003
  0.96666666666666667        7.8390270876598747E-004
   1.0000000000000000        0.0000000000000000     

 # x2=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        0.0000000000000000     
   3.3333333333333333E-002   8.5248810764657207E-003
   6.6666666666666666E-002   1.6956361771911590E-002
  0.10000000000000001        2.5202065019437624E-002
  0.13333333333333333        3.3171649168739492E-002
  0.16666666666666666        4.0777797788134840E-002
  0.20000000000000001        4.7937176321660578E-002
  0.23333333333333334        5.4571345119907133E-002
  0.26666666666666666        6.0607618841231885E-002
  0.29999999999999999        6.5979862807572440E-002
  0.33333333333333331        7.0629217589819313E-002
  0.36666666666666664        7.4504743884038147E-002
  0.40000000000000002        7.7563980613143471E-002
  0.43333333333333335        7.9773410139344747E-002
  0.46666666666666667        8.1108825490400077E-002
  0.50000000000000000        8.1555595576269596E-002
  0.53333333333333333        8.1108825490400022E-002
  0.56666666666666665        7.9773410139344705E-002
  0.59999999999999998        7.7563980613143416E-002
  0.63333333333333330        7.4504743884038077E-002
  0.66666666666666663        7.0629217589819215E-002
  0.69999999999999996        6.5979862807572356E-002
  0.73333333333333328        6.0607618841231774E-002
  0.76666666666666661        5.4571345119907050E-002
  0.80000000000000004        4.7937176321660481E-002
  0.83333333333333337        4.0777797788134763E-002
  0.86666666666666670        3.3171649168739437E-002
  0.90000000000000002        2.5202065019437562E-002
  0.93333333333333335        1.6956361771911559E-002
  0.96666666666666667        8.5248810764656860E-003
   1.0000000000000000        0.0000000000000000     
