 # x1=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        1.0000000000000000     
   3.3333333333333333E-002  0.85754702526903626     
   6.6666666666666666E-002  0.72662202202544934     
  0.10000000000000001       0.60777626451426003     
  0.13333333333333333       0.50141680139055933     
  0.16666666666666666       0.40771237542354161     
  0.20000000000000001       0.32653720947611303     
  0.23333333333333334       0.25745513491249061     
  0.26666666666666666       0.19974087583318442     
  0.29999999999999999       0.15243073791419109     
  0.33333333333333331       0.11439217366578615     
  0.36666666666666664        8.4400944834083141E-002
  0.40000000000000002        6.1215678269095325E-002
  0.43333333333333335        4.3641994864586274E-002
  0.46666666666666667        3.0581415435286800E-002
  0.50000000000000000        2.1063269831890680E-002
  0.53333333333333333        1.4260364954907663E-002
  0.56666666666666665        9.4909262792112394E-003
  0.59999999999999998        6.2102511546141114E-003
  0.63333333333333330        3.9957006450609157E-003
  0.66666666666666663        2.5283064071356166E-003
  0.69999999999999996        1.5736051454089117E-003
  0.73333333333333328        9.6353782831654598E-004
  0.76666666666666661        5.8051444927291820E-004
  0.80000000000000004        3.4413759062561222E-004
  0.83333333333333337        2.0063536397003421E-004
  0.86666666666666670        1.1477283970128320E-004
  0.90000000000000002        6.3863762369335150E-005
  0.93333333333333335        3.3454512956499598E-005
  0.96666666666666667        1.4263438685138612E-005
   1.0000000000000000        0.0000000000000000     

 # x2=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        0.0000000000000000     
   3.3333333333333333E-002   2.2017112269194601E-003
   6.6666666666666666E-002   4.3793000448991036E-003
  0.10000000000000001        6.5089083351593715E-003
  0.13333333333333333        8.5672036636230079E-003
  0.16666666666666666        1.0531634915945352E-002
  0.20000000000000001        1.2380679372242321E-002
  0.23333333333333334        1.4094078514513270E-002
  0.26666666666666666        1.5653059983203679E-002
  0.29999999999999999        1.7040543251104719E-002
  0.33333333333333331        1.8241326761183719E-002
  0.36666666666666664        1.9242254478024180E-002
  0.40000000000000002        2.0032360028102773E-002
  0.43333333333333335        2.0602986849672628E-002
  0.46666666666666667        2.0947883035865290E-002
  0.50000000000000000        2.1063269831890680E-002
  0.53333333333333333        2.0947883035865304E-002
  0.56666666666666665        2.0602986849672631E-002
  0.59999999999999998        2.0032360028102773E-002
  0.63333333333333330        1.9242254478024176E-002
  0.66666666666666663        1.8241326761183729E-002
  0.69999999999999996        1.7040543251104701E-002
  0.73333333333333328        1.5653059983203658E-002
  0.76666666666666661        1.4094078514513249E-002
  0.80000000000000004        1.2380679372242302E-002
  0.83333333333333337        1.0531634915945338E-002
  0.86666666666666670        8.5672036636229888E-003
  0.90000000000000002        6.5089083351593654E-003
  0.93333333333333335        4.3793000448990940E-003
  0.96666666666666667        2.2017112269194661E-003
   1.0000000000000000        0.0000000000000000     
