 # x1=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        1.0000000000000000     
   3.3333333333333333E-002  0.81481774384140093     
   6.6666666666666666E-002  0.64555936341284514     
  0.10000000000000001       0.49637480309741566     
  0.13333333333333333       0.36988898126275399     
  0.16666666666666666       0.26687400656519733     
  0.20000000000000001       0.18632636643798273     
  0.23333333333333334       0.12585971921373998     
  0.26666666666666666        8.2258666049840931E-002
  0.29999999999999999        5.2035563729348831E-002
  0.33333333333333331        3.1876111732188517E-002
  0.36666666666666664        1.8921786265671859E-002
  0.40000000000000002        1.0892360791247873E-002
  0.43333333333333335        6.0856767353816218E-003
  0.46666666666666667        3.3029952398501102E-003
  0.50000000000000000        1.7430780951817344E-003
  0.53333333333333333        8.9523800220516348E-004
  0.56666666666666665        4.4789447293895303E-004
  0.59999999999999998        2.1848761868561881E-004
  0.63333333333333330        1.0401184929479481E-004
  0.66666666666666663        4.8364292501255110E-005
  0.69999999999999996        2.1984810398770251E-005
  0.73333333333333328        9.7776359115814760E-006
  0.76666666666666661        4.2579668705609205E-006
  0.80000000000000004        1.8170064301797187E-006
  0.83333333333333337        7.6032031717457471E-007
  0.86666666666666670        3.1210978000948534E-007
  0.90000000000000002        1.2553220614437321E-007
  0.93333333333333335        4.8847926729599033E-008
  0.96666666666666667        1.6626765861838225E-008
   1.0000000000000000        0.0000000000000000     

 # x2=0.5d0
 # x                         phi(x1,x2)
   0.0000000000000000        0.0000000000000000     
   3.3333333333333333E-002   1.8220127464485457E-004
   6.6666666666666666E-002   3.6240631399663551E-004
  0.10000000000000001        5.3864075393386841E-004
  0.13333333333333333        7.0897373305318088E-004
  0.16666666666666666        8.7153904759086772E-004
  0.20000000000000001        1.0245555979418806E-003
  0.23333333333333334        1.1663469027597981E-003
  0.26666666666666666        1.2953594668372993E-003
  0.29999999999999999        1.4101798015247358E-003
  0.33333333333333331        1.5095499112075727E-003
  0.36666666666666664        1.5923810761695903E-003
  0.40000000000000002        1.6577657808339340E-003
  0.43333333333333335        1.7049876566936671E-003
  0.46666666666666667        1.7335293309950583E-003
  0.50000000000000000        1.7430780951817344E-003
  0.53333333333333333        1.7335293309950577E-003
  0.56666666666666665        1.7049876566936652E-003
  0.59999999999999998        1.6577657808339321E-003
  0.63333333333333330        1.5923810761695903E-003
  0.66666666666666663        1.5095499112075706E-003
  0.69999999999999996        1.4101798015247334E-003
  0.73333333333333328        1.2953594668372963E-003
  0.76666666666666661        1.1663469027597940E-003
  0.80000000000000004        1.0245555979418752E-003
  0.83333333333333337        8.7153904759086295E-004
  0.86666666666666670        7.0897373305317405E-004
  0.90000000000000002        5.3864075393386440E-004
  0.93333333333333335        3.6240631399663052E-004
  0.96666666666666667        1.8220127464485438E-004
   1.0000000000000000        0.0000000000000000     
